title,author,year_written,edition,price,filename
Northanger Abbey,"Austen, Jane",1814,Penguin,18.2,northanger_abbey.jpg
War and Peace,"Tolstoy, Leo",1865,Penguin,12.7,war_and_peace.jpg
Anna Karenina,"Tolstoy, Leo",1875,Penguin,13.5,anna_karenina.jpg
Mrs. Dalloway,"Woolf, Virginia",1925,Harcourt Brace,25,mrs_dalloway.jpg
The Hours,"Cunnningham, Michael",1999,Harcourt Brace,12.35,the_hours.jpg
Huckleberry Finn,"Twain, Mark",1865,Penguin,5.76,huckleberry_finn.jpg
Bleak House,"Dickens, Charles",1870,Random House,5.75,bleak_house.jpg
Tom Sawyer,"Twain, Mark",1862,Random House,7.75,tom_sawyer.jpg
A Room of One's Own,"Woolf, Virginia",1922,Penguin,29,a_room_of_ones_own.jpg
Harry Potter,"Rowling, J.K.",2000,Harcourt Brace,19.95,harry_potter.jpg
One Hundred Years of Solitude,Marquez,1967,Harper  Perennial,14.00,one_hundred_years_of_solitude.jpg
"Hamlet, Prince of Denmark",Shakespeare,1603,Signet  Classics,7.95,hamlet_prince_of_denmark.jpg
Lord of the Rings,"Tolkien, J.R.",1937,Penguin,27.45,the_lord_of_the_rings.jpg
The complete novels of Sherlock Holmes,Sir Arthur Conan Doyle,"1887
",Fingerprint! Classics,7.99,the_complete_novels_of_sherlock_holmes.jpg
